source_path,repo_path,size_bytes,type,sha256,include_exclude,reason,sanitize_status
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_manifest_v1.json,boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_manifest_v1.json,6311,json,2264728c770ca6322d3e656407606a788d79226a047dee7f46245babd446b896,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_manifest_v1.json.sha256,boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_manifest_v1.json.sha256,111,sha256,265bef9f3b21c6d547f63f7a27214184ef9be89afbee627304f4c66fe21f3151,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_report_v1.md,boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_report_v1.md,3719,md,99cac340f85eb6e45382b65b3a632ba30ac475c0ea72eb0cf7e0b567a9c30c68,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_validation_v1.json,boatrace/research/equipment_generation_official_evidence_import_v1/equipment_generation_import_validation_v1.json,1984,json,c3a4694c50d22d1aca1955e2217ccb9b2e9bac1e47c8444fd8fad75e6bf38c4a,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/evidence_batch_local_reconciliation_v1.csv,boatrace/research/equipment_generation_official_evidence_import_v1/evidence_batch_local_reconciliation_v1.csv,13799,csv,8b9ad12902b83140cb417cc1de4fc19b318ac1d82290bae4a58353c8f8dbde31,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/generation_boundary_gate1_materialization_plan_v1.csv,boatrace/research/equipment_generation_official_evidence_import_v1/generation_boundary_gate1_materialization_plan_v1.csv,19509,csv,f6b6fd704beed07b3ef5f3cced760b4387883b9c0684dcc2ce084bcadd21271a,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/generation_boundary_local_reconciliation_v1.csv,boatrace/research/equipment_generation_official_evidence_import_v1/generation_boundary_local_reconciliation_v1.csv,20672,csv,41e4014acacb0596f46bfe17babce7ad36cdb795cd46fb5398033214634a2367,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/hypothesis_readiness_patch_proposal_v1.csv,boatrace/research/equipment_generation_official_evidence_import_v1/hypothesis_readiness_patch_proposal_v1.csv,2716,csv,542ac5666b1cfad4b0dacbc4c22d6e701aca6ef16d70f66ae3f8c3d401148311,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_import_v1/local_input_reconciliation_v1.csv,boatrace/research/equipment_generation_official_evidence_import_v1/local_input_reconciliation_v1.csv,1792,csv,4cd92b58d30a6723c28532873af2bd57f870288411c34c8a14a26752baaa4e24,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/blocked_hypothesis_impact_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/blocked_hypothesis_impact_v1.csv,3052,csv,0fa54ceb3c196b28466eb0d4492e878d83280585b138073de1e7c9666abdb5e8,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_manifest_v1.json,boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_manifest_v1.json,11085,json,4ec6d0e17bf8f75b7e8d43b9f556692a547c01dfc7c396e99a0a54d3d0c3c849,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_manifest_v1.sha256,boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_manifest_v1.sha256,122,sha256,affbeadd7375a962458630ce811b6e586042fe69f4edb292f7601a8c080aa39f,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_report_v1.md,boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_report_v1.md,4729,md,dc9bf27a2a7942700190ede4f4aeeb4e80ed47b1a8a62efbaf5e6d49f7677025,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_validation_v1.json,boatrace/research/equipment_generation_official_evidence_v1/equipment_generation_official_evidence_validation_v1.json,7057,json,69d5cd3c2676b6262cfc55e85359f1c4d6229a05d737628db4cb54ce20c033c7,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/evidence_batch_resolution_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/evidence_batch_resolution_v1.csv,18106,csv,6f6d00ca0d8feb6bebefa9d0b0b1afd3b5de7bfd1049290ea1cb41ebfef66f7b,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/evidence_coverage_report_v1.json,boatrace/research/equipment_generation_official_evidence_v1/evidence_coverage_report_v1.json,2178,json,e17f3cc17d1d676f897af5b25ffec1ed1e434e01fba1889c18047396597db726,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/generation_boundary_candidates_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/generation_boundary_candidates_v1.csv,24115,csv,8c1708d806b1cda4b9cc5796bb41ddc8781d2cc4dbb4f0e25bef5177a151bcae,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/generation_boundary_unresolved_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/generation_boundary_unresolved_v1.csv,23876,csv,d54a53ca2ed394bd4ccd9638f0bb00cb6169213b163a1ed26ec4c3eca8e87b8c,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/inputs/equipment_evidence_batch_queue_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/inputs/equipment_evidence_batch_queue_v1.csv,21835,csv,c2b52a57b57f98f1086b355ce51444ca13114fbd82a38ca67498d45db01c59dd,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/inputs/equipment_generation_evidence_registry_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/inputs/equipment_generation_evidence_registry_v1.csv,999780,csv,7dd1bbe65b6e670343940430cfd8f534f6c9b41e5c8e32c6bb1d695903f1b96b,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/inputs/hypothesis_execution_readiness_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/inputs/hypothesis_execution_readiness_v1.csv,12803,csv,40089929d6067aa6834f0d711b8616de49a4a37c8052af8adec7ca9766364036,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/manual_followup_queue_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/manual_followup_queue_v1.csv,17109,csv,07724ff1b19f580aa34518550de5620f4864d9de9fecead2eaec6ee471d57011,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/equipment_generation_official_evidence_v1/official_evidence_registry_v1.csv,boatrace/research/equipment_generation_official_evidence_v1/official_evidence_registry_v1.csv,26640,csv,ef8aeb34298876ab0fb5e78c07181cb8401f405806c637d77874cd6b729ddf47,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/feature_research_map_v1.csv,boatrace/research/feature_research_map_v1.csv,32540,csv,cd5a95d1cf8b148fb6077f46d39a561bcb6f6afd5d592f78a48072635f0f6914,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/feature_set_tiers_v1.json,boatrace/research/feature_set_tiers_v1.json,19274,json,1859baefcf17b6b6f7329d914497b4eb21da389cf95d9dcb52b54e85099caaf7,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/equipment_evidence_batch_queue_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/equipment_evidence_batch_queue_v1.csv,21835,csv,c2b52a57b57f98f1086b355ce51444ca13114fbd82a38ca67498d45db01c59dd,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/equipment_evidence_batch_summary_v1.json,boatrace/research/gate0_unresolved_reduction_v1/equipment_evidence_batch_summary_v1.json,437,json,fa3808b2a205dace1abe675cde3a24833aa2753ba0d183c77ae025ca3550b793,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_manifest_v1.json,boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_manifest_v1.json,13769,json,14b41c55c72f5c17b0abc0eaf63879d8e9aa61a9dd9e92f5e21f5f60781061c7,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_report_v1.json,boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_report_v1.json,1789,json,8fea30aee1f110fb23d4d1ed98c2e57bcd525f033192d85d4aa95a792482316a,include,public sanitized foundation,sanitized
