race_key,v0_1_main_evaluation_eligible,final_candidate_present,final_strict_complete_member,final_prediction_feature_eligible,final_base_role,migration_status,reason_codes
20230908_12_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230908_17_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230908_21_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230908_21_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_04_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_05_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_10_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_10_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_18_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_18_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_21_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_22_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_24_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230909_24_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_03_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_05_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_07_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_08_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_10_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_10_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_21_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_21_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230910_24_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_03_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_04_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_04_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_10_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_10_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_21_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_22_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_22_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230911_24_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_03_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_08_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_16_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_20_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_20_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_23_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230912_23_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_03_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_07_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_07_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_11_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_14_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_16_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_16_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_22_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230913_23_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
