fold_id,arm_id,evaluation_count,selected_lambda,selected_calibrator,temperature,b3_raw_trifecta_log_loss,b3_calibrated_trifecta_log_loss,arm_raw_trifecta_log_loss,arm_calibrated_trifecta_log_loss,raw_paired_delta_vs_b3,calibrated_paired_delta_vs_b3
screening_fold_1,WR-S,12822,0.01,scalar_temperature,1.0501707785372352,4.157603305228495,4.157478310559472,4.034937585475512,4.033883928153435,-0.12266571975298361,-0.12359438240603633
screening_fold_1,WR-H,12822,0.01,scalar_temperature,1.0542243076777937,4.157603305228495,4.157478310559472,4.026134407520768,4.0249527991464715,-0.13146889770772688,-0.13252551141299992
screening_fold_2,WR-S,12953,0.01,scalar_temperature,1.0428481723202978,4.135776163277442,4.13591540206467,4.018172488149678,4.017401630894845,-0.11760367512776365,-0.1185137711698239
screening_fold_2,WR-H,12953,0.01,scalar_temperature,1.0451504524974224,4.135776163277442,4.13591540206467,4.0113557399007265,4.010286820664735,-0.12442042337671459,-0.12562858139993488
screening_fold_3,WR-S,13169,0.01,scalar_temperature,1.0330701658879737,4.18031528629668,4.180640507492863,4.064643756980521,4.062161229284395,-0.11567152931615829,-0.11847927820846854
screening_fold_3,WR-H,13169,0.01,scalar_temperature,1.0379944508988221,4.18031528629668,4.180640507492863,4.060207690117655,4.057197088104019,-0.12010759617902539,-0.12344341938884336
screening_fold_4,WR-S,12288,0.01,scalar_temperature,1.0861250110104064,4.131140034326351,4.132262537749672,4.02721422424428,4.027105791203671,-0.10392581008207176,-0.10515674654600106
screening_fold_4,WR-H,12288,0.01,scalar_temperature,1.0912358984713628,4.131140034326351,4.132262537749672,4.022277472052106,4.020806275857804,-0.10886256227424608,-0.11145626189186902
