prediction_kind,candidate_model_id,reference_model_id,count,mean_log_loss_delta,median_log_loss_delta,improved_race_fraction,standard_error,ci95_low,ci95_high,evaluation_day_count,improved_day_count
raw,WR-S,B3,51232,-0.11509328127841321,-0.13357926813563648,0.6597243910056215,0.002107715424837876,-0.11922440351109545,-0.11096215904573098,366,364
raw,WR-H,B3,51232,-0.12134431702284859,-0.14410731696577805,0.6617153341661461,0.002228984461203071,-0.1257131265668066,-0.11697550747889057,366,364
raw,WR-H,WR-S,51232,-0.00625103574443539,-0.008526644080310675,0.5518035602748282,0.0005264035349496109,-0.007282786672936628,-0.005219284815934153,366,263
calibrated,WR-S,B3,51232,-0.11657276244256537,-0.12148559785917556,0.6511360087445347,0.0020237320872224756,-0.12053927733352142,-0.11260624755160932,366,365
calibrated,WR-H,B3,51232,-0.12339377846404213,-0.12965838054260392,0.6550007807620237,0.0021317340762828474,-0.1275719772535565,-0.11921557967452776,366,365
calibrated,WR-H,WR-S,51232,-0.00682101602147674,-0.008000290400163923,0.5465529356652092,0.0004967549429104174,-0.007794655709581158,-0.0058473763333723216,366,267
