arm_id,feature_name,feature_component,fold_count,coefficient_mean,coefficient_std,coefficient_min,coefficient_max,mean_abs_coefficient,same_sign_all_folds
WR-S,exhibition_time,standardized_value,4,-0.4707821202690333,0.01399132208255445,-0.48450241991701315,-0.4480624493655422,0.4707821202690333,true
WR-S,national_top_1_percent,standardized_value,4,0.46641242390937837,0.005889273107581472,0.45895440593809433,0.47536335678900987,0.46641242390937837,true
WR-S,national_top_2_percent,standardized_value,4,0.1592714192414852,0.005024745643480889,0.153846567332932,0.16596036164420216,0.1592714192414852,true
WR-S,average_start_timing,standardized_value,4,-0.10528441056874328,0.004257731320389788,-0.10971089707931984,-0.1000176586903162,0.10528441056874328,true
WR-S,local_top_2_percent,standardized_value,4,0.08347454163489315,0.002515415571322048,0.0803981847279132,0.08621177200287908,0.08347454163489315,true
WR-S,racer_age,standardized_value,4,-0.08183889002687633,0.0019682821926120114,-0.08400257299476552,-0.07886931991400126,0.08183889002687633,true
WR-S,exhibition_start_timing,missing_indicator,4,0.07817088090817761,0.006101567385294991,0.07120179105657576,0.08469706763081472,0.07817088090817761,true
WR-S,national_top_3_percent,standardized_value,4,-0.05703784982171775,0.009116304317862218,-0.06861520805771426,-0.0473091696473235,0.05703784982171775,true
WR-S,exhibition_start_timing,standardized_value,4,-0.05186087843662766,0.0032522107039356335,-0.05635152489117359,-0.04765939576518147,0.05186087843662766,true
WR-S,tilt,standardized_value,4,0.04208216236949787,0.004100614699618097,0.03740579800486104,0.04770946988518509,0.04208216236949787,true
WR-H,exhibition_time,standardized_value,4,-0.44396072986011365,0.013010599759368842,-0.45639212402380147,-0.4226192275488616,0.44396072986011365,true
WR-H,national_top_1_percent,standardized_value,4,0.38915142775942857,0.0035056861276189823,0.38565181080547467,0.3949139481234437,0.38915142775942857,true
WR-H,national_top_2_percent,standardized_value,4,0.1263205308249113,0.0035495647222292454,0.12179470633331528,0.1308144954987815,0.1263205308249113,true
WR-H,prior_st_mean,standardized_value,4,-0.0909782694103674,0.00622264296512077,-0.0987624008060068,-0.08378203959483224,0.0909782694103674,true
WR-H,national_top_3_percent,standardized_value,4,-0.0838913801563219,0.012107490668490742,-0.09842073568704095,-0.07099763392020478,0.0838913801563219,true
WR-H,racer_age,standardized_value,4,-0.07917441849818488,0.0018670923413168982,-0.0811987632926543,-0.07647438315587848,0.07917441849818488,true
WR-H,local_top_2_percent,standardized_value,4,0.07529791730102374,0.0030175090375258004,0.0722458932050411,0.07854577209662253,0.07529791730102374,true
WR-H,exhibition_start_timing,missing_indicator,4,0.07179682404344565,0.006011945368858807,0.06473501942364103,0.07829351080133541,0.07179682404344565,true
WR-H,exp_weighted_top3_rate,standardized_value,4,0.06658267843606644,0.005304624187473336,0.060273227678213165,0.07301547797529716,0.06658267843606644,true
WR-H,recent_5_top1_rate,standardized_value,4,0.05613699629401682,0.0012408717388140483,0.05422191310260068,0.05765183692519253,0.05613699629401682,true
WR-H,exhibition_start_timing,standardized_value,4,-0.04820505698158384,0.003346631584626052,-0.05286139899398212,-0.04395130118046244,0.04820505698158384,true
WR-H,recent_5_top2_rate,standardized_value,4,0.047171910211675945,0.003652694247323564,0.04357182117531457,0.05195629681897158,0.047171910211675945,true
