race_id,date,track,race_no,official_url,cache_html_path
20260103_funabashi_3,2026-01-03,funabashi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=3&k_babaCode=19,data/cache/html/20260103_funabashi_3.html
20260103_funabashi_4,2026-01-03,funabashi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=4&k_babaCode=19,data/cache/html/20260103_funabashi_4.html
20260103_funabashi_5,2026-01-03,funabashi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=5&k_babaCode=19,data/cache/html/20260103_funabashi_5.html
20260103_funabashi_6,2026-01-03,funabashi,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=6&k_babaCode=19,data/cache/html/20260103_funabashi_6.html
20260103_funabashi_7,2026-01-03,funabashi,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=7&k_babaCode=19,data/cache/html/20260103_funabashi_7.html
20260103_funabashi_8,2026-01-03,funabashi,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=8&k_babaCode=19,data/cache/html/20260103_funabashi_8.html
20260103_funabashi_9,2026-01-03,funabashi,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=9&k_babaCode=19,data/cache/html/20260103_funabashi_9.html
20260103_funabashi_10,2026-01-03,funabashi,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=10&k_babaCode=19,data/cache/html/20260103_funabashi_10.html
20260103_funabashi_11,2026-01-03,funabashi,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=11&k_babaCode=19,data/cache/html/20260103_funabashi_11.html
20260103_funabashi_12,2026-01-03,funabashi,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F03&k_raceNo=12&k_babaCode=19,data/cache/html/20260103_funabashi_12.html
20260102_funabashi_1,2026-01-02,funabashi,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=1&k_babaCode=19,data/cache/html/20260102_funabashi_1.html
20260102_funabashi_2,2026-01-02,funabashi,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=2&k_babaCode=19,data/cache/html/20260102_funabashi_2.html
20260102_funabashi_3,2026-01-02,funabashi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=3&k_babaCode=19,data/cache/html/20260102_funabashi_3.html
20260102_funabashi_4,2026-01-02,funabashi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=4&k_babaCode=19,data/cache/html/20260102_funabashi_4.html
20260102_funabashi_5,2026-01-02,funabashi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=5&k_babaCode=19,data/cache/html/20260102_funabashi_5.html
20260102_funabashi_6,2026-01-02,funabashi,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=6&k_babaCode=19,data/cache/html/20260102_funabashi_6.html
20260102_funabashi_7,2026-01-02,funabashi,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=7&k_babaCode=19,data/cache/html/20260102_funabashi_7.html
20260102_funabashi_8,2026-01-02,funabashi,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=8&k_babaCode=19,data/cache/html/20260102_funabashi_8.html
20260102_funabashi_9,2026-01-02,funabashi,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=9&k_babaCode=19,data/cache/html/20260102_funabashi_9.html
20260102_funabashi_10,2026-01-02,funabashi,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=10&k_babaCode=19,data/cache/html/20260102_funabashi_10.html
20260102_funabashi_11,2026-01-02,funabashi,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=11&k_babaCode=19,data/cache/html/20260102_funabashi_11.html
20260102_funabashi_12,2026-01-02,funabashi,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F02&k_raceNo=12&k_babaCode=19,data/cache/html/20260102_funabashi_12.html
20260101_funabashi_1,2026-01-01,funabashi,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=1&k_babaCode=19,data/cache/html/20260101_funabashi_1.html
20260101_funabashi_2,2026-01-01,funabashi,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=2&k_babaCode=19,data/cache/html/20260101_funabashi_2.html
20260101_funabashi_3,2026-01-01,funabashi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=3&k_babaCode=19,data/cache/html/20260101_funabashi_3.html
20260101_funabashi_4,2026-01-01,funabashi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=4&k_babaCode=19,data/cache/html/20260101_funabashi_4.html
20260101_funabashi_5,2026-01-01,funabashi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=5&k_babaCode=19,data/cache/html/20260101_funabashi_5.html
20260101_funabashi_6,2026-01-01,funabashi,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=6&k_babaCode=19,data/cache/html/20260101_funabashi_6.html
20260101_funabashi_7,2026-01-01,funabashi,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=7&k_babaCode=19,data/cache/html/20260101_funabashi_7.html
20260101_funabashi_8,2026-01-01,funabashi,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=8&k_babaCode=19,data/cache/html/20260101_funabashi_8.html
20260101_funabashi_9,2026-01-01,funabashi,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=9&k_babaCode=19,data/cache/html/20260101_funabashi_9.html
20260101_funabashi_10,2026-01-01,funabashi,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=10&k_babaCode=19,data/cache/html/20260101_funabashi_10.html
20260101_funabashi_11,2026-01-01,funabashi,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=11&k_babaCode=19,data/cache/html/20260101_funabashi_11.html
20260101_funabashi_12,2026-01-01,funabashi,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F01%2F01&k_raceNo=12&k_babaCode=19,data/cache/html/20260101_funabashi_12.html
20251231_funabashi_1,2025-12-31,funabashi,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=1&k_babaCode=19,data/cache/html/20251231_funabashi_1.html
20251231_funabashi_2,2025-12-31,funabashi,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=2&k_babaCode=19,data/cache/html/20251231_funabashi_2.html
20251231_funabashi_3,2025-12-31,funabashi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=3&k_babaCode=19,data/cache/html/20251231_funabashi_3.html
20251231_funabashi_4,2025-12-31,funabashi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=4&k_babaCode=19,data/cache/html/20251231_funabashi_4.html
20251231_funabashi_5,2025-12-31,funabashi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=5&k_babaCode=19,data/cache/html/20251231_funabashi_5.html
20251231_funabashi_6,2025-12-31,funabashi,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=6&k_babaCode=19,data/cache/html/20251231_funabashi_6.html
20251231_funabashi_7,2025-12-31,funabashi,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=7&k_babaCode=19,data/cache/html/20251231_funabashi_7.html
20251231_funabashi_8,2025-12-31,funabashi,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=8&k_babaCode=19,data/cache/html/20251231_funabashi_8.html
20251231_funabashi_9,2025-12-31,funabashi,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=9&k_babaCode=19,data/cache/html/20251231_funabashi_9.html
20251231_funabashi_10,2025-12-31,funabashi,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2025%2F12%2F31&k_raceNo=10&k_babaCode=19,data/cache/html/20251231_funabashi_10.html
