model_id,prediction_type,group,count,trifecta_log_loss,trifecta_brier_score,winner_log_loss,exacta_log_loss,top3_set_log_loss,second_given_first_log_loss,third_given_first_second_log_loss,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,actual_combo_rank_mean,actual_combo_rank_median,mean_reciprocal_rank,per_race_log_loss_p90,per_race_log_loss_p95,per_race_log_loss_p99,max_per_race_log_loss,true_probability_below_1e_3,true_probability_below_1e_4,true_probability_below_1e_6,prediction_coverage,normal_unique_log_loss,abnormal_tail_unique_log_loss
B0_uniform,raw,01,2118,4.787491742782046,0.9916666666666668,1.791759469228055,3.4011973816621555,2.995732273553991,1.6094379124340998,1.3862943611198906,0.07034938621340887,0.15439093484419264,0.22757318224740322,0.3777148253068933,0.5193578847969783,31.875354107648725,18.0,0.16318579515292933,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,02,2169,4.787491742782046,0.9916666666666669,1.791759469228055,3.401197381662155,2.995732273553991,1.6094379124340998,1.3862943611198906,0.045182111572153065,0.12171507607192254,0.1871830336560627,0.31904103273397877,0.42784693407100044,34.49838635315814,24.0,0.1302760623330902,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,03,1750,4.787491742782047,0.9916666666666669,1.7917594692280547,3.4011973816621555,2.995732273553991,1.6094379124340998,1.3862943611198908,0.07314285714285715,0.15714285714285714,0.23714285714285716,0.388,0.5211428571428571,29.308,18.0,0.16674293007497146,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782047,
B0_uniform,raw,04,1974,4.787491742782047,0.991666666666667,1.7917594692280547,3.4011973816621555,2.995732273553991,1.6094379124341,1.3862943611198908,0.047619047619047616,0.11246200607902736,0.18439716312056736,0.3059777102330294,0.43667679837892603,35.677304964539005,24.0,0.1281884021091729,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782047,
B0_uniform,raw,05,2151,4.787491742782047,0.991666666666667,1.791759469228055,3.4011973816621555,2.995732273553991,1.6094379124341,1.3862943611198906,0.06741050674105067,0.15713621571362157,0.2403533240353324,0.400743840074384,0.5327754532775453,29.499767549976756,17.0,0.16407974869306988,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782047,
B0_uniform,raw,06,2330,4.787491742782046,0.9916666666666669,1.791759469228055,3.4011973816621546,2.9957322735539904,1.6094379124341,1.3862943611198904,0.06695278969957082,0.14678111587982834,0.22017167381974248,0.3781115879828326,0.5266094420600859,29.971673819742488,18.0,0.16015650213015045,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,07,2131,4.787491742782047,0.9916666666666669,1.791759469228055,3.4011973816621555,2.995732273553991,1.6094379124341,1.3862943611198906,0.05865790708587518,0.14500234631628345,0.2266541529798217,0.41764429845143125,0.5739089629282027,28.281088690755514,14.0,0.16034932991134132,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782047,
B0_uniform,raw,08,2240,4.787491742782046,0.9916666666666669,1.791759469228055,3.401197381662155,2.9957322735539904,1.6094379124340998,1.3862943611198908,0.06517857142857143,0.1625,0.24196428571428572,0.4160714285714286,0.5821428571428572,28.407589285714284,14.0,0.1680404294163309,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,09,2430,4.787491742782046,0.991666666666667,1.791759469228055,3.4011973816621546,2.995732273553991,1.6094379124340998,1.3862943611198908,0.0757201646090535,0.16049382716049382,0.24773662551440329,0.4152263374485597,0.5534979423868313,28.39917695473251,15.0,0.1736752654604646,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,10,2105,4.787491742782046,0.9916666666666669,1.791759469228055,3.4011973816621555,2.9957322735539913,1.6094379124340998,1.3862943611198904,0.07458432304038004,0.17482185273159145,0.25653206650831356,0.4152019002375297,0.5353919239904988,27.947743467933492,16.0,0.17723358993665853,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
B0_uniform,raw,11,2114,4.787491742782046,0.991666666666667,1.791759469228055,3.4011973816621555,2.9957322735539913,1.6094379124340998,1.3862943611198904,0.06338694418164617,0.15894039735099338,0.23888363292336803,0.41579943235572375,0.543046357615894,28.145222327341532,15.0,0.1646714511977471,4.787491742782046,4.787491742782046,4.787491742782046,4.787491742782046,0.0,0.0,0.0,1.0,4.787491742782046,
