status,eligible_for_model_training,purpose,hypothesis_id,json_row_present,csv_row_present,json_csv_match,formal_registry_id_collision,formal_registry_sha256_before,status_valid,eligible_for_model_training_valid,primary_metric_contract_valid,local_reconciliation_status
provisional,false,hypothesis_addendum_sidecar_review_only,H068,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H069,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H070,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H071,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H072,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H073,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H074,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H075,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H076,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H077,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H078,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
