fold_id,family_id,bin_index,edge,fit_role,transform_roles,missing_bin
screening_fold_2,FF04,1,6.696666666666665,train,selection|calibration|evaluation,False
screening_fold_2,FF04,2,6.728333333333334,train,selection|calibration|evaluation,False
screening_fold_2,FF04,3,6.756666666666667,train,selection|calibration|evaluation,False
screening_fold_2,FF04,4,6.781666666666666,train,selection|calibration|evaluation,False
screening_fold_2,FF04,5,6.8066666666666675,train,selection|calibration|evaluation,False
screening_fold_2,FF04,6,6.833333333333333,train,selection|calibration|evaluation,False
screening_fold_2,FF04,7,6.864999999999999,train,selection|calibration|evaluation,False
screening_fold_2,FF04,8,6.901666666666667,train,selection|calibration|evaluation,False
screening_fold_2,FF04,9,6.960000000000001,train,selection|calibration|evaluation,False
screening_fold_2,FF05,0,,train,selection|calibration|evaluation,True
screening_fold_2,FF05,1,1.0,train,selection|calibration|evaluation,False
screening_fold_2,FF05,2,2.0,train,selection|calibration|evaluation,False
screening_fold_2,FF05,3,3.0,train,selection|calibration|evaluation,False
screening_fold_2,FF05,4,5.0,train,selection|calibration|evaluation,False
screening_fold_2,FF06,0,,train,selection|calibration|evaluation,True
screening_fold_2,FF06,1,0.36407156851758943,train,selection|calibration|evaluation,False
screening_fold_2,FF06,2,0.4104916192907819,train,selection|calibration|evaluation,False
screening_fold_2,FF06,3,0.44268172962973784,train,selection|calibration|evaluation,False
screening_fold_2,FF06,4,0.4702608655919567,train,selection|calibration|evaluation,False
screening_fold_2,FF06,5,0.49615824757477706,train,selection|calibration|evaluation,False
screening_fold_2,FF06,6,0.5228571992084575,train,selection|calibration|evaluation,False
screening_fold_2,FF06,7,0.5518622649929262,train,selection|calibration|evaluation,False
screening_fold_2,FF06,8,0.5886534048160108,train,selection|calibration|evaluation,False
screening_fold_2,FF06,9,0.6407727806011385,train,selection|calibration|evaluation,False
screening_fold_2,FF07,0,,train,selection|calibration|evaluation,True
screening_fold_2,FF07,1,0.0,train,selection|calibration|evaluation,False
screening_fold_2,FF08,0,,train,selection|calibration|evaluation,True
screening_fold_2,FF08,1,1.0,train,selection|calibration|evaluation,False
screening_fold_3,FF01,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF01,1,4.0,train,selection|calibration|evaluation,False
screening_fold_3,FF01,2,5.0,train,selection|calibration|evaluation,False
screening_fold_3,FF02,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF02,1,38.45666666666667,train,selection|calibration|evaluation,False
screening_fold_3,FF02,2,42.46666666666666,train,selection|calibration|evaluation,False
screening_fold_3,FF02,3,45.28666666666667,train,selection|calibration|evaluation,False
screening_fold_3,FF02,4,47.60966666666667,train,selection|calibration|evaluation,False
screening_fold_3,FF02,5,49.75833333333333,train,selection|calibration|evaluation,False
screening_fold_3,FF02,6,51.91833333333333,train,selection|calibration|evaluation,False
screening_fold_3,FF02,7,54.288333333333334,train,selection|calibration|evaluation,False
screening_fold_3,FF02,8,57.35333333333333,train,selection|calibration|evaluation,False
screening_fold_3,FF02,9,62.79833333333333,train,selection|calibration|evaluation,False
screening_fold_3,FF03,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF03,1,43.35616666666667,train,selection|calibration|evaluation,False
screening_fold_3,FF03,2,46.531666666666666,train,selection|calibration|evaluation,False
screening_fold_3,FF03,3,48.166666666666664,train,selection|calibration|evaluation,False
screening_fold_3,FF03,4,49.38999999999999,train,selection|calibration|evaluation,False
screening_fold_3,FF03,5,50.43,train,selection|calibration|evaluation,False
screening_fold_3,FF03,6,51.405,train,selection|calibration|evaluation,False
screening_fold_3,FF03,7,52.42666666666667,train,selection|calibration|evaluation,False
