family_id,family_name,fold_id,bin_index,race_count,pooled_b3_calibrated_ll,winner_stage_ll,second_stage_ll,third_stage_ll,rank_mean,Hit@1,Hit@5,catastrophic_rate,abnormal_tail_rate,B3_B2_delta,support_gate
FF01,race_context,screening_fold_1,0,0,,,,,,,,,,,eligible_support>=250
FF01,race_context,screening_fold_1,1,1758,4.120531228690129,1.2998788238913743,1.460906651044664,1.35974575375409,24.756541524459614,0.07053469852104664,0.26621160409556316,0.006825938566552901,0.0,-0.0142205020494812,eligible_support>=250
FF01,race_context,screening_fold_1,2,11064,4.16334896944652,1.34818880478102,1.4636837899470758,1.3514763747184242,26.60159074475777,0.06932393347794649,0.26102675343456255,0.005603759942154736,0.0,-0.02714147166979092,eligible_support>=250
FF01,race_context,screening_fold_2,0,0,,,,,,,,,,,eligible_support>=250
FF01,race_context,screening_fold_2,1,1945,4.126319314318798,1.3014509420246663,1.4752010036160579,1.3496673686780736,25.58046272493573,0.08277634961439588,0.2781491002570694,0.011825192802056555,0.0,-0.009189437905326218,eligible_support>=250
FF01,race_context,screening_fold_2,2,11008,4.137610931739972,1.3231589577297747,1.465978801277583,1.3484731727326138,25.976653343023255,0.07040334302325581,0.26698764534883723,0.005450581395348837,0.0,-0.025293616902184776,eligible_support>=250
FF01,race_context,screening_fold_3,0,0,,,,,,,,,,,eligible_support>=250
FF01,race_context,screening_fold_3,1,1918,4.192859327340846,1.3447745939842104,1.4968118557438264,1.3512728776128098,26.65276329509906,0.05995828988529719,0.24869655891553702,0.0072992700729927005,0.0,-0.0051580913091006115,eligible_support>=250
FF01,race_context,screening_fold_3,2,11251,4.178557519627923,1.3393045248489384,1.4837848162329152,1.3554681785460698,26.811305661718958,0.06799395609279175,0.25304417385121325,0.008088169940449738,0.0,-0.026611851198741845,eligible_support>=250
FF01,race_context,screening_fold_4,0,0,,,,,,,,,,,eligible_support>=250
FF01,race_context,screening_fold_4,1,2061,4.079806329678563,1.2740307438270029,1.4632909903549314,1.3424845954966287,24.076176613294518,0.07569141193595343,0.27559437166424067,0.00727802037845706,0.0,-0.007856933615636092,eligible_support>=250
FF01,race_context,screening_fold_4,2,10227,4.142833794700348,1.3225467896278207,1.4704536874884682,1.3498333175840587,26.071379681235943,0.07362863009680258,0.26518040481079497,0.004595678106971741,0.0,-0.023966126126653334,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,0,0,,,,,,,,,,,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,1,1294,4.135101069877363,1.3461455892892806,1.4467031042121348,1.3422523763759475,25.230293663060277,0.07805255023183925,0.26197836166924265,0.0030911901081916537,0.0,-0.030081982641530572,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,2,1323,4.187705730987527,1.3971823380482193,1.456279382610674,1.3342440103286333,27.49357520786092,0.07029478458049887,0.2781557067271353,0.0045351473922902496,0.0,-0.021681524106685987,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,3,1356,4.192689207490565,1.3926089324211348,1.4425662461793238,1.3575140288901062,27.100294985250738,0.06415929203539823,0.24410029498525074,0.003687315634218289,0.0,-0.02297485410385607,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,4,1293,4.268968966469203,1.4219269721617005,1.4875797543285063,1.359462239978997,29.195668986852283,0.06264501160092807,0.22505800464037123,0.007733952049497293,0.0,-0.03276452245423704,eligible_support>=250
FF02,racer_official_snapshot,screening_fold_1,5,1335,4.284726861212115,1.4127350346405534,1.500768933996349,1.371222892575213,29.695880149812734,0.056179775280898875,0.22172284644194756,0.00599250936329588,0.0,-0.03054805352717904,eligible_support>=250
