status,eligible_for_model_training,purpose,raw_subtitle,raw_value_is_null,race_count,cumulative_race_coverage,mapped_stage,mapping_method,confidence,manual_review_priority,current_review_status,mapping_version
provisional,false,policy_execution_validation,選抜,false,126,0.954510056661027,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,カタメン1一般,false,124,0.955342517253417,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,カタメン3一般,false,124,0.956174977845807,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選記者特選,false,121,0.956987298262574,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,すなっち特選,false,120,0.957792905287467,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜A戦,false,114,0.958558231961116,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜B戦,false,114,0.959323558634765,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特賞A,false,113,0.960082171916539,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特賞B,false,113,0.960840785198314,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,買っトク一般,false,113,0.961599398480088,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トワイライト8,false,109,0.962331158194366,unknown,unknown_fallback_v1,low,P0,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,蒼月まるる特賞,false,109,0.963062917908644,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,モー2ング一般,false,104,0.963761110663552,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,朝1戦一般,false,104,0.964459303418459,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,3ライズ戦一般,false,103,0.965150782781492,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,おは4戦一般,false,101,0.965828835360778,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,からっキー選抜,false,97,0.966480034372566,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,レッツ5戦,false,97,0.967131233384355,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,レッツ5特賞,false,96,0.967775719004270,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選ドリーム戦,false,96,0.968420204624184,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,選抜戦(A),false,90,0.969024409892854,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般桐生特選,false,88,0.969615188377776,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,静波まつり選抜,false,87,0.970199253470824,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,江戸川選抜,false,85,0.970769891780123,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シーボー特選,false,81,0.971313676521926,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,住之江選抜,false,81,0.971857461263729,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般特別戦,false,80,0.972394532613658,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,桐生ドリーム戦,false,80,0.972931603963587,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シーモ特選,false,79,0.973461961921641,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般記者特選,false,79,0.973992319879696,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,戸田選抜戦,false,75,0.974495824270254,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,なるちゃん特選,false,74,0.974992615268938,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般シーボー選,false,74,0.975489406267623,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,狙いトク一般,false,74,0.975986197266307,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,DK特選,false,73,0.976476274873117,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,アシ夢特選,false,71,0.976952925696179,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ウチまる選抜,false,68,0.977409436343618,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ペラ坊特選,false,67,0.977859233599184,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,団体・一般,false,65,0.978295604071001,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,平和島選抜,false,65,0.978731974542818,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,まつりだone,false,64,0.979161631622761,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ビナちゃん特選,false,64,0.979591288702704,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,グランプリ特選,false,62,0.980007518998899,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,それっちゃ選抜,false,61,0.980417035903220,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,のんた選抜,false,61,0.980826552807540,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,すなっち特賞,false,58,0.981215929536239,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,なるちゃん特賞,false,55,0.981585166089315,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ランチタイム1,false,54,0.981947689250517,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ランチタイム2,false,54,0.982310212411719,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,三国選抜,false,54,0.982672735572921,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,発祥地選抜,false,54,0.983035258734123,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トクっちゃ特選,false,48,0.983357501544080,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,これしか9じゃ,false,45,0.983659604178415,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドリーム1st,false,45,0.983961706812750,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ドリーム2nd,false,45,0.984263809447085,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,長州ファイブ,false,45,0.984565912081420,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シリーズ戦予選,false,43,0.984854587932007,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ツッピーレース,false,36,0.985096270039475,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,からっキー特選,false,35,0.985331238755069,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シリーズ予選,false,35,0.985566207470662,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,推しトク特賞,false,34,0.985794462794382,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ほぼ女子予選,false,32,0.986009291334354,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,モンタドリーム,false,32,0.986224119874325,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,買っトク予選,false,32,0.986438948414297,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,鷲羽選抜,false,28,0.986626923386772,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選バディ選抜,false,27,0.986808184967373,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選ラリー選抜,false,27,0.986989446547974,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,くらしき選抜,false,26,0.987163994736701,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,決めトク特賞,false,26,0.987338542925428,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,多摩川選抜戦,false,25,0.987506377722280,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,1回戦,false,24,0.987667499127259,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,新緑選抜戦,false,24,0.987828620532238,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,龍神選抜,false,24,0.987989741937216,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,三A傑戦,false,21,0.988130723166573,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,2ndドリーム,false,20,0.988264991004055,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,あしや特選,false,20,0.988399258841537,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ファン選抜,false,20,0.988533526679019,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選特別選抜,false,20,0.988667794516502,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,狙いトク予選,false,20,0.988802062353984,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,1stドリーム,false,19,0.988929616799592,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ビナちゃんDR,false,19,0.989057171245200,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
